,respondent 0,respondent 1,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 28,respondent 29,respondent 30,respondent 31,respondent 32,respondent 33,respondent 34,respondent 35,respondent 36,respondent 37,respondent 38,respondent 39,respondent 40,respondent 41,respondent 42,respondent 43,respondent 44,respondent 45,respondent 46,respondent 47,respondent 48,respondent 49,respondent 50,respondent 51,respondent 52,respondent 53,respondent 54,respondent 55,respondent 56,respondent 57,respondent 58,respondent 59,respondent 60,respondent 61,respondent 62,respondent 63,respondent 64,respondent 65,respondent 66,respondent 67,respondent 68,respondent 69,respondent 70,respondent 71,respondent 72,respondent 73,respondent 74,respondent 75,respondent 76,respondent 77,respondent 78,respondent 79,respondent 80,respondent 81,respondent 82,respondent 83,respondent 84,respondent 85,respondent 86,respondent 87,respondent 88,respondent 89,respondent 90,respondent 91,respondent 92,respondent 93,respondent 94,respondent 95,respondent 96,respondent 97,respondent 98,respondent 99,respondent 100,respondent 101,respondent 102,respondent 103,respondent 104,respondent 105,respondent 106,respondent 107,respondent 108,respondent 109,respondent 110,respondent 111,respondent 112,respondent 113,respondent 114,respondent 115,respondent 116,respondent 117,respondent 118,respondent 119,respondent 120,respondent 121,respondent 122,respondent 123,respondent 124,respondent 125,respondent 126,respondent 127,respondent 128,respondent 129,respondent 130,respondent 131,respondent 132,respondent 133,respondent 134,respondent 135,respondent 136,respondent 137,respondent 138,respondent 139,respondent 140,respondent 141,respondent 142,respondent 143,respondent 144,respondent 145,respondent 146,respondent 147,respondent 148,respondent 149,respondent 150,respondent 151,respondent 152,respondent 153,respondent 154,respondent 155,respondent 156,respondent 157,respondent 158,respondent 159,respondent 160,respondent 161,respondent 162,respondent 163,respondent 164,respondent 165,respondent 166,respondent 167,respondent 168,respondent 169,respondent 170,respondent 171,respondent 172,respondent 173,respondent 174,respondent 175,respondent 176,respondent 177,respondent 178,respondent 179,respondent 180,respondent 181,respondent 182,respondent 183,respondent 184,respondent 185,respondent 186,respondent 187,respondent 188,respondent 189,respondent 190,respondent 191,respondent 192,respondent 193,respondent 194,respondent 195,respondent 196,respondent 197,respondent 198,respondent 199,respondent 200,respondent 201,respondent 202,respondent 203,respondent 204,respondent 205,respondent 206,respondent 207,respondent 208,respondent 209,respondent 210,respondent 211,respondent 212,respondent 213,respondent 214,respondent 215,respondent 216,respondent 217,respondent 218,respondent 219,respondent 220,respondent 221,respondent 222,respondent 223,respondent 224,respondent 225,respondent 226,respondent 227,respondent 228,respondent 229,respondent 230,respondent 231,respondent 232,respondent 233,respondent 234,respondent 235,respondent 236,respondent 237,respondent 238,respondent 239,respondent 240,respondent 241,std,mean,nonmissing
aardvark,,1.0,,1.0,4.0,,1.0,2.0,,3.0,,3.0,,3.0,5.0,2.0,3.0,,4.0,,3.0,1.0,3.0,5.0,3.0,,3.0,3.0,,4.0,3.0,,,,,5.0,2.0,3.0,,,4.0,3.0,,,,3.0,,5.0,,1.0,5.0,,,2.0,,4.0,5.0,,2.0,4.0,4.0,5.0,,,,,2.0,2.0,2.0,3.0,,5.0,1.0,3.0,2.0,2.0,3.0,,,2.0,1.0,3.0,3.0,,2.0,4.0,5.0,2.0,2.0,5.0,3.0,,,,5.0,5.0,2.0,1.0,5.0,2.0,,2.0,,3.0,2.0,,3.0,1.0,3.0,2.0,,3.0,,,3.0,2.0,,2.0,3.0,1.0,,1.0,4.0,4.0,1.0,,5.0,5.0,4.0,,,1.0,3.0,5.0,5.0,2.0,5.0,,,5.0,,,,,5.0,,1.0,,5.0,,1.0,2.0,2.0,,1.0,1.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,,2.0,5.0,5.0,,,,2.0,1.0,,,,5.0,1.0,1.0,2.0,3.0,1.0,,2.0,5.0,,2.0,,3.0,,5.0,,3.0,,4.0,,3.0,,3.0,,2.0,1.0,3.0,,1.0,4.0,,,,1.0,4.0,3.0,4.0,,,,1.0,3.0,3.0,5.0,5.0,4.0,5.0,,,2.0,4.0,,,3.0,,,4.0,,,,2.0,,,2.0,,,1.3937358237938753,2.8993288590604025,149
antelope,5.0,4.0,3.0,2.0,5.0,5.0,,4.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,,5.0,3.0,5.0,2.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,5.0,1.0,4.0,1.0,5.0,2.0,4.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,3.0,1.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,1.0,4.0,2.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,1.2014342775766094,3.790794979079498,239
bear,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,1.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,1.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,0.936955092946663,4.43801652892562,242
boar,5.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,,4.0,4.0,2.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,4.0,4.0,,4.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,2.0,5.0,3.0,1.0,4.0,2.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,1.0752758417215003,4.058577405857741,239
buffalo,,2.0,3.0,2.0,5.0,5.0,1.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,1.0,4.0,3.0,,4.0,3.0,2.0,5.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,,5.0,2.0,5.0,4.0,5.0,5.0,2.0,3.0,4.0,5.0,4.0,1.0,4.0,2.0,5.0,3.0,2.0,5.0,2.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,1.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,5.0,1.0,3.0,2.0,5.0,4.0,1.0,4.0,2.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,2.0,1.2201788962277704,3.7698744769874475,239
calf,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,,5.0,0.797397405041837,4.635983263598327,239
cavy,2.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,4.0,3.0,3.0,5.0,2.0,4.0,3.0,5.0,,4.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,1.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,4.0,1.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,3.0,1.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,1.0,4.0,3.0,5.0,5.0,2.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,1.1226481487254993,3.863070539419087,241
cheetah,4.0,3.0,5.0,2.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,2.0,5.0,2.0,2.0,5.0,4.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,,3.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,,1.0,2.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,1.0,5.0,1.0,5.0,2.0,1.0,3.0,4.0,5.0,2.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,1.1734675642118253,4.03347280334728,239
deer,5.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,0.9673965625259001,4.268595041322314,242
dolphin,3.0,5.0,1.0,5.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,5.0,5.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,5.0,4.0,2.0,5.0,5.0,1.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,1.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,5.0,3.0,5.0,1.0,4.0,2.0,3.0,3.0,5.0,3.0,1.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,2.0,3.0,3.0,5.0,1.0,5.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,2.0,5.0,2.0,5.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,2.0,1.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,1.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,4.0,3.0,5.0,1.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0,5.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.4384065518202183,3.1859504132231407,242
